Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 139

N 	Smpl.	Trig

0	161	0
1	173	0
2	183	0
3	191	0
4	197	0
5	201	0
6	204	0
7	204	0
8	201	0
9	197	0
10	189	0
11	181	0
12	171	0
13	160	0
14	148	0
15	136	0
16	124	0
17	113	0
18	101	0
19	93	0
20	85	0
21	80	0
22	76	0
23	75	0
24	77	0
25	79	0
26	85	0
27	92	0
28	100	0
29	111	0
30	123	0
31	135	0
32	147	0
33	159	0
34	169	0
35	179	0
36	189	0
37	195	0
38	200	0
39	203	0
40	204	0
41	203	0
42	197	0
43	192	0
44	184	0
45	175	0
46	163	0
47	153	0
48	140	0
49	129	0
50	116	0
51	105	0
52	96	0
53	87	0
54	82	0
55	77	0
56	76	0
57	75	0
58	77	0
59	83	0
60	89	0
61	97	0
62	107	0
63	119	0
64	131	0
65	143	0
66	155	0
67	165	0
68	176	0
69	185	0
70	193	0
71	199	0
72	203	0
73	204	0
74	203	0
75	200	0
76	193	0
77	187	0
78	179	0
79	167	0
80	156	0
81	144	0
82	132	0
83	121	0
84	109	0
85	99	0
86	91	0
87	83	0
88	79	0
89	76	0
90	75	0
91	77	0
92	81	0
93	87	0
94	95	0
95	104	0
96	115	0
97	127	0
98	139	0
99	151	0
100	161	0
101	173	0
102	183	0
103	191	0
104	197	0
105	201	0
106	203	0
107	203	0
108	201	0
109	196	0
110	189	0
111	180	0
112	171	0
113	160	0
114	148	0
115	136	0
116	124	0
117	113	0
118	101	0
119	93	0
120	85	0
121	80	0
122	77	0
123	76	0
124	76	0
125	80	0
126	85	0
127	91	0
128	101	0
129	111	0
130	123	0
131	135	0
132	147	0
133	157	0
134	169	0
135	180	0
136	188	0
137	195	0
138	200	0
139	203	0
140	203	0
141	203	0
142	197	0
143	192	0
144	184	0
145	175	0
146	163	0
147	152	0
148	140	0
149	128	0
150	116	0
151	107	0
152	96	0
153	87	0
154	81	0
155	77	0
156	75	0
157	76	0
158	77	0
159	83	0
160	89	0
161	97	0
162	108	0
163	119	0
164	131	0
165	143	0
166	155	0
167	165	0
168	176	0
169	185	0
170	193	0
171	199	0
172	203	0
173	203	0
174	203	0
175	199	0
176	193	0
177	187	0
178	177	0
179	167	0
180	156	0
181	144	0
182	132	0
183	121	0
184	109	0
185	99	0
186	91	0
187	84	0
188	79	0
189	76	0
190	76	0
191	77	0
192	81	0
193	87	0
194	95	0
195	105	0
196	115	0
197	127	0
198	139	0
199	151	0
200	163	0
201	173	0
202	183	0
203	191	0
204	197	0
205	201	0
206	204	0
207	203	0
208	201	0
209	196	0
210	189	0
211	181	0
212	171	0
213	160	0
214	148	0
215	136	0
216	124	0
217	113	0
218	101	0
219	93	0
220	85	0
221	79	0
222	77	0
223	75	0
224	76	0
