Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 93

N 	Smpl.	Trig

0	162	0
1	162	0
2	163	0
3	163	0
4	163	0
5	163	0
6	165	0
7	165	0
8	167	0
9	167	0
10	170	0
11	171	0
12	174	0
13	175	0
14	178	0
15	180	0
16	183	0
17	185	0
18	189	0
19	192	0
20	195	0
21	199	0
22	201	0
23	204	0
24	207	0
25	209	0
26	212	0
27	215	0
28	217	0
29	219	0
30	221	0
31	221	0
32	222	0
33	221	0
34	221	0
35	219	0
36	217	0
37	215	0
38	211	0
39	205	0
40	200	0
41	195	0
42	187	0
43	179	0
44	172	0
45	163	0
46	154	0
47	145	0
48	136	0
49	127	0
50	119	0
51	111	0
52	105	0
53	99	0
54	95	0
55	93	0
56	93	0
57	93	0
58	97	0
59	103	0
60	110	0
61	119	0
62	129	0
63	141	0
64	153	0
65	165	0
66	178	0
67	191	0
68	201	0
69	211	0
70	217	0
71	221	0
72	222	0
73	220	0
74	215	0
75	206	0
76	195	0
77	182	0
78	167	0
79	151	0
80	136	0
81	121	0
82	109	0
83	100	0
84	95	0
85	93	0
86	95	0
87	103	0
88	114	0
89	129	0
90	145	0
91	163	0
92	181	0
93	197	0
94	210	0
95	218	0
96	222	0
97	219	0
98	211	0
99	198	0
100	181	0
101	162	0
102	142	0
103	123	0
104	107	0
105	96	0
106	93	0
107	95	0
108	105	0
109	120	0
110	139	0
111	161	0
112	182	0
113	201	0
114	215	0
115	222	0
116	220	0
117	210	0
118	193	0
119	172	0
120	148	0
121	125	0
122	107	0
123	95	0
124	92	0
125	99	0
126	115	0
127	137	0
128	163	0
129	187	0
130	207	0
131	219	0
132	221	0
133	212	0
134	194	0
135	170	0
136	143	0
137	119	0
138	101	0
139	93	0
140	97	0
141	112	0
142	137	0
143	164	0
144	191	0
145	212	0
146	221	0
147	218	0
148	202	0
149	176	0
150	147	0
151	119	0
152	99	0
153	93	0
154	100	0
155	120	0
156	149	0
157	179	0
158	205	0
159	221	0
160	219	0
161	203	0
162	176	0
163	144	0
164	115	0
165	97	0
166	94	0
167	107	0
168	135	0
169	168	0
170	199	0
171	218	0
172	221	0
173	206	0
174	176	0
175	142	0
176	112	0
177	95	0
178	95	0
179	115	0
180	148	0
181	184	0
182	211	0
183	223	0
184	211	0
185	184	0
186	149	0
187	115	0
188	95	0
189	95	0
190	118	0
191	153	0
192	190	0
193	215	0
194	221	0
195	204	0
196	170	0
197	131	0
198	101	0
199	93	0
200	108	0
201	142	0
202	182	0
203	212	0
204	222	0
205	206	0
206	171	0
207	130	0
208	100	0
209	93	0
210	113	0
211	151	0
212	191	0
213	218	0
214	219	0
215	193	0
216	151	0
217	113	0
218	93	0
219	103	0
